date,value
2019/12/22,73
2019/12/29,97
2020/01/05,80
2020/01/12,69
2020/01/19,75
2020/01/26,50
2020/02/02,65
2020/02/09,63
2020/02/16,48
2020/02/23,60
2020/03/01,51
2020/03/08,52
2020/03/15,63
2020/03/22,66
2020/03/29,65
2020/04/05,62
2020/04/12,64
2020/04/19,74
2020/04/26,68
2020/05/03,67
2020/05/10,70
2020/05/17,94
2020/05/24,100
2020/05/31,86
2020/06/07,95
2020/06/14,91
2020/06/21,93
2020/06/28,81
2020/07/05,91
2020/07/12,77
2020/07/19,99
2020/07/26,75
2020/08/02,78
2020/08/09,87
2020/08/16,84
2020/08/23,55
2020/08/30,50
2020/09/06,53
2020/09/13,63
2020/09/20,45
2020/09/27,62
2020/10/04,64
2020/10/11,68
2020/10/18,68
2020/10/25,84
2020/11/01,80
2020/11/08,76
2020/11/15,73
2020/11/22,68
2020/11/29,73
2020/12/06,75
2020/12/13,60